timestamp,drone_id,linear_x,linear_y,linear_z,angular_z
1782563435.153742,drone_00,-0.623,4.775,0.0,0.0
1782563435.1538188,drone_00,-2.331,-1.918,0.0,0.0
1782563435.1538424,drone_00,2.428,-0.041,0.0,0.0
1782563435.153857,drone_00,0.527,-3.625,0.0,0.0
1782563435.1538692,drone_00,-0.966,4.578,0.0,0.0
1782563435.1538804,drone_00,4.418,3.09,0.0,0.0
1782563435.1538918,drone_00,-1.051,-1.226,0.0,0.0
1782563435.1539013,drone_00,-3.631,-4.321,0.0,0.0
1782563435.1539102,drone_00,0.92,-2.665,0.0,0.0
1782563435.1539204,drone_00,4.723,1.4,0.0,0.0
1782563435.1539302,drone_00,-4.76,2.11,0.0,0.0
1782563435.1539402,drone_00,0.278,3.817,0.0,0.0
1782563435.1539502,drone_00,0.299,1.606,0.0,0.0
1782563435.1539598,drone_00,-0.705,3.479,0.0,0.0
1782563435.153969,drone_00,-0.629,-2.531,0.0,0.0
1782563435.1539786,drone_00,0.616,0.046,0.0,0.0
1782563435.1539881,drone_00,3.034,-0.738,0.0,0.0
1782563435.1539974,drone_00,-3.277,0.344,0.0,0.0
1782563435.1540072,drone_00,-0.09,3.324,0.0,0.0
1782563435.1540163,drone_00,-1.589,-0.26,0.0,0.0
1782563435.154026,drone_00,-4.015,-4.409,0.0,0.0
1782563435.154035,drone_00,-3.902,-1.913,0.0,0.0
1782563435.1540444,drone_00,2.547,1.005,0.0,0.0
1782563435.1540604,drone_00,-3.333,-4.72,0.0,0.0
1782563435.1540709,drone_00,2.228,2.715,0.0,0.0
1782563435.1540806,drone_00,0.394,4.567,0.0,0.0
1782563435.15409,drone_00,-0.408,-0.63,0.0,0.0
1782563435.1541002,drone_00,-2.126,-4.8,0.0,0.0
1782563435.154111,drone_00,-0.235,4.652,0.0,0.0
1782563435.1541212,drone_00,-0.213,-0.627,0.0,0.0
1782563435.1541307,drone_00,-1.48,-2.825,0.0,0.0
1782563435.15414,drone_00,3.972,-4.005,0.0,0.0
1782563435.154149,drone_00,-0.663,-4.887,0.0,0.0
1782563435.1541586,drone_00,-0.668,4.695,0.0,0.0
1782563435.1541677,drone_00,4.865,-4.444,0.0,0.0
1782563435.1542041,drone_00,0.602,3.266,0.0,0.0
1782563435.1542141,drone_00,-3.92,3.238,0.0,0.0
1782563435.1542232,drone_00,-4.414,1.335,0.0,0.0
1782563435.1542327,drone_00,-2.29,1.349,0.0,0.0
1782563435.154242,drone_00,-1.493,-3.698,0.0,0.0
1782563435.1542513,drone_00,-2.384,-2.647,0.0,0.0
1782563435.1542642,drone_00,-0.693,3.215,0.0,0.0
1782563435.1542735,drone_00,-4.906,2.865,0.0,0.0
1782563435.1542828,drone_00,-0.116,0.707,0.0,0.0
1782563435.1542916,drone_00,-0.127,0.44,0.0,0.0
1782563435.154304,drone_00,1.245,-0.269,0.0,0.0
1782563435.1543133,drone_00,-1.497,4.263,0.0,0.0
1782563435.1543221,drone_00,0.549,1.686,0.0,0.0
1782563435.1543314,drone_00,-3.096,0.568,0.0,0.0
1782563435.1543403,drone_00,1.424,-3.062,0.0,0.0
1782563435.1543498,drone_00,-0.611,-3.527,0.0,0.0
1782563435.154359,drone_00,-1.303,-0.452,0.0,0.0
1782563435.1543682,drone_00,-2.792,1.653,0.0,0.0
1782563435.154378,drone_00,-2.123,1.794,0.0,0.0
1782563435.1543872,drone_00,2.07,0.762,0.0,0.0
1782563435.1543968,drone_00,-3.144,-2.608,0.0,0.0
1782563435.1544058,drone_00,-2.237,0.721,0.0,0.0
1782563435.154418,drone_00,-1.446,4.464,0.0,0.0
1782563435.1544273,drone_00,-4.323,-3.325,0.0,0.0
1782563435.1544363,drone_00,3.035,3.358,0.0,0.0
1782563435.154446,drone_00,-4.807,2.58,0.0,0.0
1782563435.154455,drone_00,4.525,-0.41,0.0,0.0
1782563435.1544642,drone_00,0.749,2.641,0.0,0.0
1782563435.1544733,drone_00,-4.633,-4.685,0.0,0.0
1782563435.1544821,drone_00,-4.217,2.391,0.0,0.0
1782563435.1544929,drone_00,1.73,3.039,0.0,0.0
1782563435.1545017,drone_00,-4.482,-3.762,0.0,0.0
1782563435.1545115,drone_00,4.575,0.113,0.0,0.0
1782563435.1545203,drone_00,-0.496,2.891,0.0,0.0
1782563435.1545324,drone_00,2.677,4.487,0.0,0.0
1782563435.1545417,drone_00,-2.79,0.563,0.0,0.0
1782563435.154551,drone_00,2.912,3.273,0.0,0.0
1782563435.15456,drone_00,3.024,3.207,0.0,0.0
1782563435.1545694,drone_00,4.412,-4.702,0.0,0.0
1782563435.1545787,drone_00,2.683,2.412,0.0,0.0
1782563435.1546528,drone_00,2.405,4.614,0.0,0.0
1782563435.1546817,drone_00,-2.93,3.57,0.0,0.0
1782563435.1546953,drone_00,0.845,-0.608,0.0,0.0
1782563435.1547048,drone_00,-0.972,4.122,0.0,0.0
1782563435.1547134,drone_00,-0.162,0.336,0.0,0.0
